initial|word|mean|example
ㄴㄹ|누락|기입하여야 할 것이 빠짐|명단에서 내 이름이 ___되어 있었다
ㄴㅈ|누적|포개어 여러 번 쌓음|피로가 ___되어 몸살이 났다
ㄴㅈ|난제|해결하기 어려운 문제|환경 오염은 인류가 해결해야 할 ___이다
ㄴㄱ|능가|능력이나 수준 따위가 비교 대상을 훨씬 넘어섬|그는 스승의 실력을 ___하는 제자가 되었다
ㄴㅌ|나태|행동이나 성격이 느리고 게으름|그는 ___한 생활 태도를 버리고 열심히 공부했다
ㄴㅅ|낭설|터무니없는 헛소문|그 소문은 근거 없는 ___에 불과하다
ㄴㅁ|내막|겉으로 드러나지 아니한 일의 속 내용|사건의 ___을 알고 나니 그가 이해되었다
ㄴㅈ|날조|사실이 아닌 것을 사실인 것처럼 꾸며 냄|증거를 ___하여 무고한 사람을 범인으로 몰았다
ㄴㅂ|논박|상대의 잘못된 점을 조리 있게 공격하여 말함|그는 상대방의 논리를 조목조목 ___했다
ㄷㄱ|다각|여러 방면이나 부문|문제 해결을 위해 ___적인 노력이 필요하다
ㄷㅅ|단서|일의 실마리|현장에서 범인을 잡을 결정적인 ___를 발견했다
ㄷㅈ|단절|유대나 연관 관계를 끊음|대화의 ___은 오해를 불러일으킨다
ㄷㅂ|담보|빚을 대신할 수 있는 것으로 내놓는 것|주택을 ___로 대출을 받았다
ㄷㅎ|담합|서로 의논하여 합의함 (주로 부당한 목적)|건설사들이 입찰 가격을 ___한 사실이 드러났다
ㄷㅅ|답습|예전부터 해 오던 방식을 그대로 좇아 함|구태를 ___하지 말고 새로운 방식을 찾아야 한다
ㄷㅁ|당면|바로 눈앞에 당함|우리 회사는 자금난이라는 ___ 과제를 안고 있다
ㄷㅇ|당위|마땅히 그렇게 하거나 되어야 하는 것|도덕적 ___를 앞세워 희생을 강요해서는 안 된다
ㄷㄷ|대두|어떤 세력이나 현상이 새롭게 나타남|환경 문제가 심각한 사회 문제로 ___되었다
ㄷㅊ|대치|서로 맞서서 버팀|경찰과 시위대가 팽팽하게 ___하고 있다
ㄷㅁ|도모|어떤 일을 이루기 위하여 대책과 방법을 세움|그는 훗날을 ___하며 잠시 물러났다
ㄷㅊ|도출|판단이나 결론 따위를 이끌어 냄|토론을 통해 합리적인 결론을 ___해 냈다
ㄷㄷ|독단|남과 상의하지 않고 혼자서 판단하거나 결정함|팀장의 ___적인 업무 처리에 불만이 많다
ㄷㄹ|독려|감독하고 격려함|사장님은 직원들을 ___하여 목표를 달성했다
ㄷㅊ|동참|어떤 모임이나 일에 같이 참가함|불우 이웃 돕기 행사에 많은 시민들이 ___했다
ㄷㄱ|두각|뛰어난 학식이나 재능|그는 입사 1년 만에 업무에서 ___을 나타냈다
ㄷㅎ|등한|무엇을 하찮게 여기거나 소홀하게 여김|학업을 ___시하면 좋은 성적을 받을 수 없다
ㄷㅇ|대안|어떤 안을 대신할 만한 안|비판만 하지 말고 현실적인 ___을 제시해라
ㄷㅅ|단상|생각나는 대로의 단편적인 생각|여행을 다녀와서 느낀 짧은 ___들을 기록했다
ㄷㄱ|둔감|감각이나 감정이 무디고 둔함|그는 유행에 ___해서 옷차림이 항상 촌스럽다
ㄹㅅㅋ|리스크|위험|투자에는 항상 ___가 따른다
ㄹㅇㄷ|레임덕|임기 만료를 앞둔 공직자의 지도력 공백 현상|대통령의 임기 말 ___ 현상이 가속화되고 있다
ㄹㄷㅁ|로드맵|어떤 일을 추진하기 위한 단계별 계획|정부는 평화 통일을 위한 ___을 발표했다
ㄹㅇㅇ|라인업|구성|이번 페스티벌의 출연진 ___이 화려하다
ㄹㄴㅁㅇㅌ|러닝메이트|선거 등에서 함께 나서는 파트너|그는 부통령 후보로 자신의 오랜 친구를 ___로 지명했다
ㄹㅂㅇㅌ|리베이트|지불 대금의 일부를 사례금 명목으로 되돌려 주는 돈|의약품 납품 과정에서 불법 ___가 오갔다
ㄹㅍ|리플|댓글|악성 ___은 타인에게 큰 상처를 준다
ㄹㅁ|루머|소문|연예인을 둘러싼 악성 ___가 퍼지고 있다
ㄹㄷㅁㅋ|랜드마크|어떤 지역을 대표하는 표지물|63빌딩은 서울의 대표적인 ___이다
ㄹㅁ|로망|꿈꾸던 일|전원주택에서의 삶은 도시인들의 ___이다
ㄹㅍㅌㄹ|레퍼토리|공연 목록, 또는 자주 하는 이야기|그는 술만 마시면 똑같은 ___를 반복한다
ㄹㅎㅅ|리허설|예행연습|공연 전날 늦게까지 ___을 진행했다
ㄹㅁㄷㄹ|리모델링|건축물의 기능을 향상하는 일|낡은 아파트를 ___하여 새집처럼 꾸몄다
ㅁㅂ|마비|신경이나 근육이 기능을 잃음. (비유적으로 정지)|폭설로 인해 도심 교통이 완전히 ___되었다
ㅁㅇ|막연|갈피를 잡을 수 있게 아득하거나 희미함|구체적인 계획 없이 ___한 기대만으로는 성공할 수 없다
ㅁㅇ|만연|부정적인 현상이 널리 번짐|우리 사회에 물질만능주의가 ___해 있다
ㅁㅈ|만전|조금도 허술함이 없이 아주 완전함|태풍 피해 예방에 ___을 기해야 한다
ㅁㄹ|망라|널리 받아들여 모두 포함함|이번 전시회는 현대 미술의 모든 것을 ___하고 있다
ㅁㄱ|매개|둘 사이에서 양편의 관계를 맺어 줌|모기는 질병을 ___하는 해충이다
ㅁㄷ|매도|물건을 팖|주식 시장에서 외국인의 ___세가 이어지고 있다
ㅁㄹ|매료|사람의 마음을 사로잡아 홀리게 함|그녀의 아름다운 목소리는 관객들을 ___시켰다
ㅁㅅ|맹신|옳고 그름을 가리지 않고 덮어놓고 믿음|특정 종교를 ___하는 것은 위험할 수 있다
ㅁㅈ|맹점|미처 생각이 미치지 못한 모순되는 점|이 법안에는 악용될 소지가 있는 ___이 있다
ㅁㅂ|명분|일을 꾀할 때 내세우는 구실이나 이유|전쟁에는 어떠한 ___도 있을 수 없다
ㅁㅅ|명시|분명하게 드러내어 보임|계약서에 환불 규정을 명확히 ___해야 한다
ㅁㅅ|모색|일이나 사건의 실마리를 더듬어 찾음|노사 양측은 상생을 위한 방안을 ___하고 있다
ㅁㅅ|모순|앞뒤가 서로 맞지 않음|그의 행동은 말과 행동이 다른 ___을 보여준다
ㅁㅁ|무마|분쟁이나 사건 따위를 어물어물 덮어 버림|그는 돈으로 사건을 ___하려고 했다
ㅁㄱ|묵과|알고도 모르는 체하고 그대로 넘김|이번 부정행위는 결코 ___할 수 없다
ㅁㅇ|묵인|모르는 체하고 슬그머니 인정함|상사의 ___ 하에 부하 직원들의 비리가 저질러졌다
ㅁㅂ|미봉|임시변통으로 이리저리 주선하여 꾸며 댐|근본적인 해결책 없이 ___책에 그쳐서는 안 된다
ㅁㅇ|미연|어떤 일이 아직 그렇게 되지 않은 때|사고를 ___에 방지하기 위해 안전 점검을 실시했다
ㅁㅇ|민원|주민이 행정 기관에 원하는 바를 청구하는 일|구청에 주차 문제 해결을 요구하는 ___을 넣었다
ㅂㅁㄱㅅ	반면교사	다른 사람의 하찮은 언행을 보고 자신의 수양에 도움을 얻는 일	이번 실패를 ___로 삼아 다시는 같은 실수를 반복하지 않겠다
ㅂㅁ	반목	서로 미워하고 질시하는 듯한 눈으로 봄. (불화)	오랜 기간 이어진 두 집단의 ___이 드디어 해소되었다
ㅂㅎ	반향	어떤 사건이나 발표 따위가 세상에 영향을 미치어 일어나는 반응	그의 주장은 사회적으로 큰 ___을 불러일으켰다
ㅂㅂ	발발	전쟁이나 큰 사건 따위가 갑자기 일어남	전쟁 ___ 가능성이 제기되자 증시가 요동쳤다
ㅂㅈ	방증	사실을 직접 증명하지는 아니하나, 주변의 상황을 밝힘으로써 간접적으로 증명에 도움을 줌	그의 침묵은 혐의를 인정한다는 유력한 ___이다
ㅂㄱ	배가	어떤 수나 양을 두 번 합함. 또는 힘이나 능력 따위를 점점 더하게 함	노력을 ___하여 목표를 조기 달성했다
ㅂㅈ	배제	받아들이지 아니하고 물리쳐 제외함	가능성을 완전히 ___할 수는 없다
ㅂㅂ	번복	이리저리 고치거나 뒤바꿈	그는 진술을 계속 ___하여 신뢰를 잃었다
ㅂㅈ	범주	동일한 성질을 가진 부류나 범위	이 문제는 논의의 ___를 벗어난 것이다
ㅂㅂ	변별	사물의 옳고 그름이나 좋고 나쁨을 가림	정보의 홍수 속에서 유용한 정보를 ___하는 능력이 중요하다
ㅂㄱ	복기	바둑에서, 한 번 둔 바둑을 비평하기 위하여 두었던 대로 다시 놓아 봄. (비유: 일을 되돌아봄)	오늘 회의 내용을 ___해보며 놓친 부분이 없는지 확인했다
ㅂㄱ	복구	손실 이전의 상태로 회복함	태풍 피해 지역의 ___ 작업이 시급하다
ㅂㅅ	부심	어떤 문제를 해결하기 위하여 마음을 몹시 씀	신제품 홍보 전략을 짜느라 ___하고 있다
ㅂㅇ	부양	생활 능력이 없는 사람의 생활을 돌봄	고령화 사회로 접어들며 노인 ___ 부담이 커지고 있다
ㅂㅇ	부응	어떠한 기대나 요구에 맞추어 응함	소비자들의 기대에 ___하기 위해 품질을 개선했다
ㅂㅅ	불식	의심이나 오해, 나쁜 생각 따위를 말끔히 씻어 버림	이번 발표는 항간의 우려를 ___시키기에 충분했다
ㅂㄱ	비견	앞뒤가 서로 비슷함. 또는 서로 비슷하게 견줌	그의 업적은 전임자에 ___될 만하다
ㅂㅇ	비약	논리나 사고방식 따위가 그 단계를 따르지 아니하고 뛰어넘음	그것은 논리적 ___이 너무 심한 주장이다
ㅂㅎ	비호	편들어서 감싸 주고 보호함	권력의 ___ 아래 비리가 자행되었다
ㅂㅈ	빙자	남의 힘을 빌려서 의지함. 또는 말막음을 위하여 핑계를 댐	종교를 ___하여 사기 행각을 벌인 일당이 검거되었다
ㅅㄱㅈㄷ	사각지대	관심이나 영향이 미치지 못하는 구역	복지 ___에 놓인 위기 가구를 발굴해야 한다
ㅅㄹ	사료	깊이 생각함	향후 진로에 대해 깊은 ___가 필요하다
ㅅㅇ	사안	법률 규정, 문제 따위가 문제가 된 일	이번 ___은 매우 중대한 문제이다
ㅅㅎ	사흘	세 날. (3일)	그는 감기로 ___ 동안 결근했다
ㅅㅈ	산재	여기저기 흩어져 있음	문화유산이 도처에 ___해 있다
ㅅㅅ	상쇄	상반되는 것이 서로 영향을 주어 효과가 없어지게 함	이번 이익이 지난달의 손실을 ___했다
ㅅㅅ	서식	증서, 원서, 신고서 따위와 같이 꾸며 놓은 방식	입사 지원 ___을 다운로드하여 작성하시오
ㅅㄹ	성료	일이 성공적으로 끝남	행사가 많은 시민의 참여 속에 ___되었다
ㅅㄱ	소기	기대했던 바	꾸준한 운동으로 ___의 성과를 거두었다
ㅅㅁ	소명	까닭이나 이유를 밝혀 설명함	그는 혐의에 대해 충분히 ___할 기회를 얻지 못했다
ㅅㅎ	소회	마음에 품고 있는 회포	퇴임식에서 지난 30년의 ___를 밝혔다
ㅅㅅ	쇄신	나쁜 폐단이나 묵은 것을 버리고 새롭게 함	조직 문화를 ___하기 위한 혁신안이 발표되었다
ㅅㄹ	수렴	여러 사람의 의견이나 사상 따위를 거두어들임	다양한 의견을 ___하여 정책에 반영하겠다
ㅅㅂ	수반	어떤 일과 더불어 생김	개혁에는 고통이 ___되기 마련이다
ㅅㅅㅂㄱ	수수방관	팔짱을 끼고 보고만 있다는 뜻으로, 간섭하거나 거들지 아니하고 그대로 버려둠	동료가 어려움에 처했는데 ___할 수는 없다
ㅅㅅ	시사	어떤 것을 미리 알아차리게 띔. (암시)	이 결과가 우리에게 ___하는 바가 크다
ㅅㅈ	시정	잘못된 것을 바로잡음	잘못된 관행을 ___하고 투명성을 높여야 한다
ㅅㅎ	실효	실제적인 효과	제재 조치가 ___를 거두지 못하고 있다
ㅅㅅㅎㄷ	심심하다	마음의 표현 정도가 매우 깊고 간절하다	이번 일에 대해 ___ 사과의 말씀을 드립니다
ㅅㅂ	십분	아주 충분히	너의 심정을 ___ 이해한다
ㅇㅁ	안목	사물을 보고 분별하는 견식	그는 좋은 작품을 고르는 ___이 탁월하다
ㅇㅂ	안배	알맞게 나누어 배치하거나 처리함	체력을 적절히 ___하여 경기를 운영해야 한다
ㅇㅎ	양해	사정을 살펴서 너그럽게 이해함	공사 소음에 대해 주민 여러분의 ___를 부탁드립니다
ㅇㅇ	역임	여러 직위를 두루 거쳐 지냄	그는 장관과 대학 총장을 ___했다
ㅇㄹ	연루	남이 저지른 죄에 관계됨	그는 뇌물 수수 사건에 ___되어 조사를 받았다
ㅇㅇ	영위	일을 꾸려 나감	안정적인 삶을 ___하기 위해 노력한다
ㅇㅁ	오명	더러워진 이름이나 명예	그는 억울한 누명을 쓰고 씻을 수 없는 ___을 뒤집어썼다
ㅇㅇ	오인	잘못 보거나 잘못 생각함	어두워서 그를 적으로 ___하고 사격했다
ㅇㅎ	와해	기와가 깨진다는 뜻으로, 조직이나 계획 따위가 산산이 무너짐	내부 갈등으로 조직이 ___될 위기에 처했다
ㅇㅇ	요원	아득하게 멂	통일은 아직 ___한 일처럼 느껴진다
ㅇㅇ	용이	어렵지 않고 쉬움	접근이 ___하여 많은 사람이 이용한다
ㅇㅅ	위상	어떤 사물이 다른 사물과의 관계 속에서 가지는 위치나 상태	국가의 경제적 ___이 높아졌다
ㅇㅎㄱ	위화감	조화되지 아니하는 어설픈 느낌	지나친 사치는 주변 사람들에게 ___을 조성할 수 있다
ㅇㄴ	유념	마음에 둠	안전 수칙을 항상 ___해 주시기 바랍니다
ㅇㅂ	유보	어떤 일을 당장 처리하지 아니하고 나중으로 미룸	결정을 잠시 ___하고 상황을 지켜보기로 했다
ㅇㅊ	유치	행사나 사업 따위를 끌어들임	세계 엑스포 ___를 위해 총력을 기울이고 있다
ㅇㅌ	융통	금전이나 물품 따위를 돌려 씀. (상황에 따른 처리를 의미하기도 함)	원칙도 중요하지만 상황에 따라 ___을 발휘해야 한다
ㅇㄱ	이관	관할을 다른 곳으로 옮김	해당 업무가 다른 부서로 ___되었다
ㅇㅁ	이면	겉으로 나타나지 않은 속	화려한 성공의 ___에는 피나는 노력이 있었다
ㅇㅇ	일임	모두 맡김	그는 협상에 관한 전권을 변호사에게 ___했다
ㅈㅁ	자문	어떤 일을 효율적으로 처리하기 위해 전문가에게 의견을 물음	법률 전문가에게 ___을 구했다
ㅈㄱ	재고	어떤 일이나 문제 따위에 대하여 다시 생각함	그 계획은 현실성이 없으므로 ___의 여지가 있다
ㅈㅂ	저변	어떤 분야의 발전의 기초가 되는, 사회 전반에 깔려 있는 밑바탕	축구의 ___ 확대를 위해 유소년 클럽을 지원해야 한다
ㅈㅅ	적시	지적하여 보임	문제점을 정확히 ___하고 해결책을 찾아야 한다
ㅈㄱ	전가	잘못이나 책임을 남에게 넘겨씌움	자신의 책임을 남에게 ___하지 마라
ㅈㅊ	전철	앞서 지나간 수레바퀴의 자국. (이전의 실패)	과거의 ___을 밟지 않기 위해 역사를 공부한다
ㅈㅊ	점철	어떤 일로 이어져 엮임	그의 인생은 고난과 역경으로 ___되어 있다
ㅈㅎ	정황	일의 사정과 상황	여러 ___으로 보아 그가 범인임이 확실하다
ㅈㄱ	제고	쳐들어 높임	기업 이미지를 ___하기 위한 캠페인을 시작했다
ㅈㅇ	조예	학문이나 예술, 기술 따위의 분야에 대한 지식이나 경험이 깊은 경지	그는 미술에 깊은 ___가 있다
ㅈㅈ	조장	바람직하지 않은 일을 더 심해지도록 부추김	공포감을 ___하는 보도는 자제해야 한다
ㅈㅅ	좌시	참견하지 아니하고 앉아서 보기만 함	우리 정부는 영토 침해 행위를 결코 ___하지 않을 것이다
ㅈㅈ	주지	여러 사람이 두루 앎	이미 ___하다시피 이번 프로젝트는 매우 중요하다
ㅈㅅ	준수	전례나 법규, 명령 따위를 그대로 좇아서 지킴	교통 법규를 ___하여 안전 운전을 해야 한다
ㅈㅈ	중재	분쟁 당사자 사이에 서서 화해를 붙임	노사 간의 갈등을 해결하기 위해 정부가 ___에 나섰다
ㅈㅇ	지양	더 높은 단계로 오르기 위하여 어떠한 것을 하지 아니함 (피함)	소모적인 논쟁을 ___하고 생산적인 대화를 하자
ㅈㅎ	지향	어떤 목표로 뜻이 쏠리어 향함	미래 ___적인 관점에서 계획을 세워야 한다
ㅈㅅ	직시	사물의 진실을 바로 봄	현실을 냉정하게 ___하고 대책을 마련해야 한다
ㅈㅇ	진위	참과 거짓	소문의 ___를 파악하기 위해 조사에 착수했다
ㅈㄱ	징계	허물이나 잘못을 뉘우치도록 나무라며 제재를 가함	규정을 위반한 직원에 대해 ___ 처분이 내려졌다
ㅊㅊ	차치	내버려 두고 문제 삼지 아니함	비용 문제는 ___하고서라도 실현 가능성이 낮다
ㅊㅈ	참작	이리저리 비추어 보아서 알맞게 고려함	정상 ___의 여지가 있어 형량이 감경되었다
ㅊㅊ	창출	전에 없던 것을 처음으로 만들어 냄	새로운 일자리를 ___하는 것이 경제 정책의 핵심이다
ㅊㅌ	채택	작품, 의견, 법안 따위를 골라서 다루거나 씀	그의 제안이 회의에서 공식 안건으로 ___되었다
ㅊㅈ	책정	계획이나 방책을 세워 결정함	내년도 예산을 ___하기 위한 논의가 시작되었다
ㅊㄱ	척결	부정부패 따위의 나쁜 대상을 깨끗이 없애 버림	부정부패 ___은 국가적인 과제이다
ㅊㅁ	천명	진리나 사실, 입장 따위를 드러내어 밝힘	그는 기자회견을 통해 출마 의사를 공식적으로 ___했다
ㅊㅎ	철회	이미 제출하였던 것이나 주장하였던 것을 거두어들임	반발이 거세지자 정부는 해당 정책을 ___했다
ㅊㄱ	체감	외부의 자극을 몸으로 직접 느낌	경기가 나빠졌다는 것을 피부로 ___하고 있다
ㅊㄹ	초래	어떤 결과를 가져오게 함	사소한 실수가 엄청난 재앙을 ___할 수 있다
ㅊㄱ	촉구	재촉하여 요구함	시민 단체는 정부에 대책 마련을 강력히 ___했다
ㅊㄷ	추대	윗사람으로 떠받듦	그는 만장일치로 신임 회장에 ___되었다
ㅊㅅ	추산	짐작으로 미루어 셈함	피해액은 약 10억 원으로 ___된다
ㅊㅇ	추이	일이나 형편이 변하여 나가는 경향	사태의 ___를 지켜본 뒤에 대응하겠다
ㅊㅈ	축적	지식, 경험, 자금 따위를 모아서 쌓음	오랜 기간 ___된 기술력이 우리 회사의 강점이다
ㅊㅈ	출자	자금을 내어놓음	여러 기업이 공동으로 ___하여 합작 회사를 설립했다
ㅊㄷ	충당	모자라는 것을 채워 메움	부족한 예산을 ___하기 위해 기부금을 모금했다
ㅊㅇ	충원	인원수를 채움	결원이 발생하여 신입 사원을 ___하기로 했다
ㅊㅈ	취지	어떤 일의 근본이 되는 목적이나 긴요한 뜻	법 제정의 ___를 살려 공정하게 집행해야 한다
ㅊㅎ	치하	공로를 칭찬하고 축하함	사장은 직원들의 노고를 ___하고 격려금을 지급했다
ㅂㅁㄱㅅ|반면교사|다른 사람의 하찮은 언행을 보고 자신의 수양에 도움을 얻는 일|이번 실패를 ___로 삼아 다시는 같은 실수를 반복하지 않겠다
ㅂㅁ|반목|서로 미워하고 질시하는 듯한 눈으로 봄. (불화)|오랜 기간 이어진 두 집단의 ___이 드디어 해소되었다
ㅂㅎ|반향|어떤 사건이나 발표 따위가 세상에 영향을 미치어 일어나는 반응|그의 주장은 사회적으로 큰 ___을 불러일으켰다
ㅂㅂ|발발|전쟁이나 큰 사건 따위가 갑자기 일어남|전쟁 ___ 가능성이 제기되자 증시가 요동쳤다
ㅂㅈ|방증|사실을 직접 증명하지는 아니하나, 주변의 상황을 밝힘으로써 간접적으로 증명에 도움을 줌|그의 침묵은 혐의를 인정한다는 유력한 ___이다
ㅂㄱ|배가|어떤 수나 양을 두 번 합함. 또는 힘이나 능력 따위를 점점 더하게 함|노력을 ___하여 목표를 조기 달성했다
ㅂㅈ|배제|받아들이지 아니하고 물리쳐 제외함|가능성을 완전히 ___할 수는 없다
ㅂㅂ|번복|이리저리 고치거나 뒤바꿈|그는 진술을 계속 ___하여 신뢰를 잃었다
ㅂㅈ|범주|동일한 성질을 가진 부류나 범위|이 문제는 논의의 ___를 벗어난 것이다
ㅂㅂ|변별|사물의 옳고 그름이나 좋고 나쁨을 가림|정보의 홍수 속에서 유용한 정보를 ___하는 능력이 중요하다
ㅂㄱ|복기|바둑에서, 한 번 둔 바둑을 비평하기 위하여 두었던 대로 다시 놓아 봄. (비유: 일을 되돌아봄)|오늘 회의 내용을 ___해보며 놓친 부분이 없는지 확인했다
ㅂㄱ|복구|손실 이전의 상태로 회복함|태풍 피해 지역의 ___ 작업이 시급하다
ㅂㅅ|부심|어떤 문제를 해결하기 위하여 마음을 몹시 씀|신제품 홍보 전략을 짜느라 ___하고 있다
ㅂㅇ|부양|생활 능력이 없는 사람의 생활을 돌봄|고령화 사회로 접어들며 노인 ___ 부담이 커지고 있다
ㅂㅇ|부응|어떠한 기대나 요구에 맞추어 응함|소비자들의 기대에 ___하기 위해 품질을 개선했다
ㅂㅅ|불식|의심이나 오해, 나쁜 생각 따위를 말끔히 씻어 버림|이번 발표는 항간의 우려를 ___시키기에 충분했다
ㅂㄱ|비견|앞뒤가 서로 비슷함. 또는 서로 비슷하게 견줌|그의 업적은 전임자에 ___될 만하다
ㅂㅇ|비약|논리나 사고방식 따위가 그 단계를 따르지 아니하고 뛰어넘음|그것은 논리적 ___이 너무 심한 주장이다
ㅂㅎ|비호|편들어서 감싸 주고 보호함|권력의 ___ 아래 비리가 자행되었다
ㅂㅈ|빙자|남의 힘을 빌려서 의지함. 또는 말막음을 위하여 핑계를 댐|종교를 ___하여 사기 행각을 벌인 일당이 검거되었다
ㅅㄱㅈㄷ|사각지대|관심이나 영향이 미치지 못하는 구역|복지 ___에 놓인 위기 가구를 발굴해야 한다
ㅅㄹ|사료|깊이 생각함|향후 진로에 대해 깊은 ___가 필요하다
ㅅㅇ|사안|법률 규정, 문제 따위가 문제가 된 일|이번 ___은 매우 중대한 문제이다
ㅅㅎ|사흘|세 날. (3일)|그는 감기로 ___ 동안 결근했다
ㅅㅈ|산재|여기저기 흩어져 있음|문화유산이 도처에 ___해 있다
ㅅㅅ|상쇄|상반되는 것이 서로 영향을 주어 효과가 없어지게 함|이번 이익이 지난달의 손실을 ___했다
ㅅㅅ|서식|증서, 원서, 신고서 따위와 같이 꾸며 놓은 방식|입사 지원 ___을 다운로드하여 작성하시오
ㅅㄹ|성료|일이 성공적으로 끝남|행사가 많은 시민의 참여 속에 ___되었다
ㅅㄱ|소기|기대했던 바|꾸준한 운동으로 ___의 성과를 거두었다
ㅅㅁ|소명|까닭이나 이유를 밝혀 설명함|그는 혐의에 대해 충분히 ___할 기회를 얻지 못했다
ㅅㅎ|소회|마음에 품고 있는 회포|퇴임식에서 지난 30년의 ___를 밝혔다
ㅅㅅ|쇄신|나쁜 폐단이나 묵은 것을 버리고 새롭게 함|조직 문화를 ___하기 위한 혁신안이 발표되었다
ㅅㄹ|수렴|여러 사람의 의견이나 사상 따위를 거두어들임|다양한 의견을 ___하여 정책에 반영하겠다
ㅅㅂ|수반|어떤 일과 더불어 생김|개혁에는 고통이 ___되기 마련이다
ㅅㅅㅂㄱ|수수방관|팔짱을 끼고 보고만 있다는 뜻으로, 간섭하거나 거들지 아니하고 그대로 버려둠|동료가 어려움에 처했는데 ___할 수는 없다
ㅅㅅ|시사|어떤 것을 미리 알아차리게 띔. (암시)|이 결과가 우리에게 ___하는 바가 크다
ㅅㅈ|시정|잘못된 것을 바로잡음|잘못된 관행을 ___하고 투명성을 높여야 한다
ㅅㅎ|실효|실제적인 효과|제재 조치가 ___를 거두지 못하고 있다
ㅅㅅㅎㄷ|심심하다|마음의 표현 정도가 매우 깊고 간절하다|이번 일에 대해 ___ 사과의 말씀을 드립니다
ㅅㅂ|십분|아주 충분히|너의 심정을 ___ 이해한다
ㅇㅁ|안목|사물을 보고 분별하는 견식|그는 좋은 작품을 고르는 ___이 탁월하다
ㅇㅂ|안배|알맞게 나누어 배치하거나 처리함|체력을 적절히 ___하여 경기를 운영해야 한다
ㅇㅎ|양해|사정을 살펴서 너그럽게 이해함|공사 소음에 대해 주민 여러분의 ___를 부탁드립니다
ㅇㅇ|역임|여러 직위를 두루 거쳐 지냄|그는 장관과 대학 총장을 ___했다
ㅇㄹ|연루|남이 저지른 죄에 관계됨|그는 뇌물 수수 사건에 ___되어 조사를 받았다
ㅇㅇ|영위|일을 꾸려 나감|안정적인 삶을 ___하기 위해 노력한다
